layer,sample_idx,mse
layers.0.self_attn.q_proj,0,0.007009762804955244
layers.0.self_attn.k_proj,0,0.00922689214348793
layers.0.self_attn.v_proj,0,0.00036331903538666666
layers.0.self_attn.o_proj,0,9.072176180779934e-05
layers.0.mlp.gate_proj,0,0.0025809654034674168
layers.0.mlp.up_proj,0,0.00204403861425817
layers.0.mlp.down_proj,0,0.0002747905964497477
layers.1.self_attn.q_proj,0,0.12433288991451263
layers.1.self_attn.k_proj,0,0.09713172167539597
layers.1.self_attn.v_proj,0,0.001527678919956088
layers.1.self_attn.o_proj,0,0.00016938218323048204
layers.1.mlp.gate_proj,0,0.011955933645367622
layers.1.mlp.up_proj,0,0.0069937496446073055
layers.1.mlp.down_proj,0,0.8949242830276489
layers.2.self_attn.q_proj,0,0.38549143075942993
layers.2.self_attn.k_proj,0,0.43835461139678955
layers.2.self_attn.v_proj,0,0.013417860493063927
layers.2.self_attn.o_proj,0,0.0009805819718167186
layers.2.mlp.gate_proj,0,0.015187286771833897
layers.2.mlp.up_proj,0,0.011033721268177032
layers.2.mlp.down_proj,0,0.0010450968984514475
layers.3.self_attn.q_proj,0,0.343070924282074
layers.3.self_attn.k_proj,0,0.36758214235305786
layers.3.self_attn.v_proj,0,0.0404021255671978
layers.3.self_attn.o_proj,0,0.000796969688963145
layers.3.mlp.gate_proj,0,0.02718963660299778
layers.3.mlp.up_proj,0,0.02011268399655819
layers.3.mlp.down_proj,0,0.0011337001342326403
layers.4.self_attn.q_proj,0,0.4029095470905304
layers.4.self_attn.k_proj,0,0.43926745653152466
layers.4.self_attn.v_proj,0,0.050263661891222
layers.4.self_attn.o_proj,0,0.0010623803827911615
layers.4.mlp.gate_proj,0,0.05058467760682106
layers.4.mlp.up_proj,0,0.034187283366918564
layers.4.mlp.down_proj,0,0.0038632075302302837
layers.5.self_attn.q_proj,0,0.4549711346626282
layers.5.self_attn.k_proj,0,0.5097262859344482
layers.5.self_attn.v_proj,0,0.06499835103750229
layers.5.self_attn.o_proj,0,0.0019112075679004192
layers.5.mlp.gate_proj,0,0.07119458168745041
layers.5.mlp.up_proj,0,0.04634111747145653
layers.5.mlp.down_proj,0,0.004066271707415581
layers.6.self_attn.q_proj,0,0.5504053235054016
layers.6.self_attn.k_proj,0,0.595093846321106
layers.6.self_attn.v_proj,0,0.101807601749897
layers.6.self_attn.o_proj,0,0.0024243714287877083
layers.6.mlp.gate_proj,0,0.09635456651449203
layers.6.mlp.up_proj,0,0.06023847684264183
layers.6.mlp.down_proj,0,0.0059126741252839565
layers.7.self_attn.q_proj,0,0.6166521906852722
layers.7.self_attn.k_proj,0,0.6581195592880249
layers.7.self_attn.v_proj,0,0.12461891770362854
layers.7.self_attn.o_proj,0,0.0034697919618338346
layers.7.mlp.gate_proj,0,0.11804615706205368
layers.7.mlp.up_proj,0,0.07641413062810898
layers.7.mlp.down_proj,0,0.008785068057477474
layers.8.self_attn.q_proj,0,0.6101148128509521
layers.8.self_attn.k_proj,0,0.6862231492996216
layers.8.self_attn.v_proj,0,0.14094433188438416
layers.8.self_attn.o_proj,0,0.004128200467675924
layers.8.mlp.gate_proj,0,0.1249692291021347
layers.8.mlp.up_proj,0,0.08823647350072861
layers.8.mlp.down_proj,0,0.01075765211135149
layers.9.self_attn.q_proj,0,0.6569864749908447
layers.9.self_attn.k_proj,0,0.7883884906768799
layers.9.self_attn.v_proj,0,0.16162385046482086
layers.9.self_attn.o_proj,0,0.005201983731240034
layers.9.mlp.gate_proj,0,0.13436944782733917
layers.9.mlp.up_proj,0,0.09954395145177841
layers.9.mlp.down_proj,0,0.012824764475226402
layers.10.self_attn.q_proj,0,0.6808843612670898
layers.10.self_attn.k_proj,0,0.8464037179946899
layers.10.self_attn.v_proj,0,0.17744435369968414
layers.10.self_attn.o_proj,0,0.0068071153946220875
layers.10.mlp.gate_proj,0,0.13961710035800934
layers.10.mlp.up_proj,0,0.10889698565006256
layers.10.mlp.down_proj,0,0.0153303612023592
layers.11.self_attn.q_proj,0,0.7318541407585144
layers.11.self_attn.k_proj,0,0.8712843656539917
layers.11.self_attn.v_proj,0,0.23346923291683197
layers.11.self_attn.o_proj,0,0.007259972393512726
layers.11.mlp.gate_proj,0,0.1508721113204956
layers.11.mlp.up_proj,0,0.11945486813783646
layers.11.mlp.down_proj,0,0.017011800780892372
layers.12.self_attn.q_proj,0,0.7459779381752014
layers.12.self_attn.k_proj,0,0.9506972432136536
layers.12.self_attn.v_proj,0,0.22095157206058502
layers.12.self_attn.o_proj,0,0.008820041082799435
layers.12.mlp.gate_proj,0,0.1505260467529297
layers.12.mlp.up_proj,0,0.12534675002098083
layers.12.mlp.down_proj,0,0.018997173756361008
layers.13.self_attn.q_proj,0,0.7637624740600586
layers.13.self_attn.k_proj,0,0.9030060172080994
layers.13.self_attn.v_proj,0,0.23430109024047852
layers.13.self_attn.o_proj,0,0.010872759856283665
layers.13.mlp.gate_proj,0,0.1612439900636673
layers.13.mlp.up_proj,0,0.13783442974090576
layers.13.mlp.down_proj,0,0.02410244196653366
layers.14.self_attn.q_proj,0,0.8237627148628235
layers.14.self_attn.k_proj,0,1.0237261056900024
layers.14.self_attn.v_proj,0,0.22962987422943115
