parameter,mse,cosine_similarity
model.layers.11.self_attn.v_proj.weight,1.56868281919742e-06,0.9975371956825256
model.layers.11.self_attn.o_proj.weight,1.519120814919006e-06,0.9977627992630005
model.layers.11.mlp.gate_proj.weight,2.7061403216066537e-06,1.0021253824234009
model.layers.11.mlp.up_proj.weight,2.4215091798396315e-06,1.0023484230041504
model.layers.11.mlp.down_proj.weight,2.3669244910706766e-06,1.0024349689483643
model.layers.12.self_attn.q_proj.weight,4.1119697016256396e-06,0.9980753064155579
model.layers.12.self_attn.k_proj.weight,4.343516138760606e-06,0.9981772899627686
model.layers.12.self_attn.v_proj.weight,1.5296258197849966e-06,0.9977545142173767
model.layers.12.self_attn.o_proj.weight,1.4895116464685998e-06,0.9977949857711792
model.layers.12.mlp.gate_proj.weight,2.672117489055381e-06,1.002042293548584
model.layers.12.mlp.up_proj.weight,2.463516693751444e-06,1.0022282600402832
model.layers.12.mlp.down_proj.weight,2.408251248198212e-06,1.0023469924926758
model.layers.13.self_attn.q_proj.weight,4.039095074404031e-06,0.9981900453567505
model.layers.13.self_attn.k_proj.weight,4.1688172132126056e-06,0.9982568621635437
model.layers.13.self_attn.v_proj.weight,1.641417611608631e-06,0.9976505637168884
model.layers.13.self_attn.o_proj.weight,1.5965255215633078e-06,0.9976772665977478
model.layers.13.mlp.gate_proj.weight,2.654927584444522e-06,1.002049207687378
model.layers.13.mlp.up_proj.weight,2.5138258479273645e-06,1.0021320581436157
model.layers.13.mlp.down_proj.weight,2.4496769128745655e-06,1.0022450685501099
model.layers.14.self_attn.q_proj.weight,3.999805812782142e-06,0.9981876015663147
model.layers.14.self_attn.k_proj.weight,4.156767772656167e-06,0.9982439875602722
model.layers.14.self_attn.v_proj.weight,1.5828334198886296e-06,0.9976447224617004
model.layers.14.self_attn.o_proj.weight,1.5357492202383582e-06,0.9977214932441711
model.layers.14.mlp.gate_proj.weight,2.641620085341856e-06,1.0020356178283691
model.layers.14.mlp.up_proj.weight,2.518125938877347e-06,1.002100944519043
model.layers.14.mlp.down_proj.weight,2.4528760604880517e-06,1.002221941947937
model.layers.15.self_attn.q_proj.weight,3.936351276934147e-06,0.9979623556137085
model.layers.15.self_attn.k_proj.weight,4.182769771432504e-06,0.9980675578117371
model.layers.15.self_attn.v_proj.weight,1.7111171928263502e-06,0.9974530339241028
model.layers.15.self_attn.o_proj.weight,1.654203629186668e-06,0.9975855350494385
model.layers.15.mlp.gate_proj.weight,2.6712650651461445e-06,1.0020078420639038
model.layers.15.mlp.up_proj.weight,2.54718588621472e-06,1.0020638704299927
model.layers.15.mlp.down_proj.weight,2.4759854113654e-06,1.002190113067627
model.layers.16.self_attn.q_proj.weight,3.8774987842771225e-06,0.9980853796005249
model.layers.16.self_attn.k_proj.weight,4.0557556530984584e-06,0.9982287287712097
model.layers.16.self_attn.v_proj.weight,1.8583251630843733e-06,0.9976216554641724
