layer,sample_idx,mse
layers.0.self_attn.q_proj,0,0.0010827200021594763
layers.0.self_attn.k_proj,0,0.0009181202622130513
layers.0.self_attn.v_proj,0,8.255433203885332e-05
layers.0.self_attn.o_proj,0,9.81627636065241e-06
layers.0.mlp.gate_proj,0,0.0008988356566987932
layers.0.mlp.up_proj,0,0.0003475486591923982
layers.0.mlp.down_proj,0,3.6664110666606575e-05
layers.1.self_attn.q_proj,0,0.008426448330283165
layers.1.self_attn.k_proj,0,0.009319286793470383
layers.1.self_attn.v_proj,0,0.0002158844581572339
layers.1.self_attn.o_proj,0,3.248344728490338e-05
layers.1.mlp.gate_proj,0,0.002750180196017027
layers.1.mlp.up_proj,0,0.0011678541777655482
layers.1.mlp.down_proj,0,0.025493312627077103
layers.2.self_attn.q_proj,0,0.04689580202102661
layers.2.self_attn.k_proj,0,0.05577930435538292
layers.2.self_attn.v_proj,0,0.002731525572016835
layers.2.self_attn.o_proj,0,0.0001610523759154603
layers.2.mlp.gate_proj,0,0.0032575095538049936
layers.2.mlp.up_proj,0,0.0020858163479715586
layers.2.mlp.down_proj,0,0.00014704362547490746
layers.3.self_attn.q_proj,0,0.04635053128004074
layers.3.self_attn.k_proj,0,0.05119141936302185
layers.3.self_attn.v_proj,0,0.007970651611685753
layers.3.self_attn.o_proj,0,9.728818258736283e-05
layers.3.mlp.gate_proj,0,0.005180862732231617
layers.3.mlp.up_proj,0,0.0037222381215542555
layers.3.mlp.down_proj,0,0.0002831037272699177
layers.4.self_attn.q_proj,0,0.06023840606212616
layers.4.self_attn.k_proj,0,0.06688007712364197
layers.4.self_attn.v_proj,0,0.01021012756973505
layers.4.self_attn.o_proj,0,0.00014145334716886282
layers.4.mlp.gate_proj,0,0.009883290156722069
layers.4.mlp.up_proj,0,0.006363005377352238
layers.4.mlp.down_proj,0,0.000667522894218564
layers.5.self_attn.q_proj,0,0.07504419982433319
layers.5.self_attn.k_proj,0,0.08691137284040451
layers.5.self_attn.v_proj,0,0.013159722089767456
layers.5.self_attn.o_proj,0,0.00033805560087785125
layers.5.mlp.gate_proj,0,0.014733844436705112
layers.5.mlp.up_proj,0,0.008818943053483963
layers.5.mlp.down_proj,0,0.0010775239206850529
layers.6.self_attn.q_proj,0,0.09893326461315155
layers.6.self_attn.k_proj,0,0.09683849662542343
layers.6.self_attn.v_proj,0,0.021028421819210052
layers.6.self_attn.o_proj,0,0.0003648052806966007
layers.6.mlp.gate_proj,0,0.0182183887809515
layers.6.mlp.up_proj,0,0.01155801396816969
layers.6.mlp.down_proj,0,0.001480247126892209
layers.7.self_attn.q_proj,0,0.11010991036891937
layers.7.self_attn.k_proj,0,0.10784310102462769
layers.7.self_attn.v_proj,0,0.025834152474999428
layers.7.self_attn.o_proj,0,0.0004354204284027219
layers.7.mlp.gate_proj,0,0.022396758198738098
layers.7.mlp.up_proj,0,0.01451925840228796
layers.7.mlp.down_proj,0,0.0021507192868739367
layers.8.self_attn.q_proj,0,0.11046317219734192
layers.8.self_attn.k_proj,0,0.11351735889911652
layers.8.self_attn.v_proj,0,0.03136735036969185
layers.8.self_attn.o_proj,0,0.0006813934887759387
layers.8.mlp.gate_proj,0,0.02481270395219326
layers.8.mlp.up_proj,0,0.017564475536346436
layers.8.mlp.down_proj,0,0.003266765270382166
layers.9.self_attn.q_proj,0,0.12761753797531128
layers.9.self_attn.k_proj,0,0.14135496318340302
layers.9.self_attn.v_proj,0,0.044725675135850906
layers.9.self_attn.o_proj,0,0.0009227754198946059
layers.9.mlp.gate_proj,0,0.027570663020014763
layers.9.mlp.up_proj,0,0.02061372995376587
layers.9.mlp.down_proj,0,0.004316087346524
layers.10.self_attn.q_proj,0,0.1367952972650528
layers.10.self_attn.k_proj,0,0.15905922651290894
layers.10.self_attn.v_proj,0,0.06615206599235535
layers.10.self_attn.o_proj,0,0.0011658135335892439
layers.10.mlp.gate_proj,0,0.029519161209464073
layers.10.mlp.up_proj,0,0.02306891605257988
layers.10.mlp.down_proj,0,0.004428802989423275
layers.11.self_attn.q_proj,0,0.15295325219631195
layers.11.self_attn.k_proj,0,0.1642734706401825
layers.11.self_attn.v_proj,0,0.07343404740095139
layers.11.self_attn.o_proj,0,0.0013916280586272478
layers.11.mlp.gate_proj,0,0.03255421295762062
layers.11.mlp.up_proj,0,0.025856010615825653
layers.11.mlp.down_proj,0,0.005056313239037991
layers.12.self_attn.q_proj,0,0.16015104949474335
layers.12.self_attn.k_proj,0,0.19164586067199707
layers.12.self_attn.v_proj,0,0.07174922525882721
layers.12.self_attn.o_proj,0,0.001684477785602212
layers.12.mlp.gate_proj,0,0.03437461704015732
layers.12.mlp.up_proj,0,0.02844329923391342
layers.12.mlp.down_proj,0,0.005809256341308355
layers.13.self_attn.q_proj,0,0.1688745617866516
layers.13.self_attn.k_proj,0,0.18451008200645447
layers.13.self_attn.v_proj,0,0.06443240493535995
layers.13.self_attn.o_proj,0,0.0018310092855244875
layers.13.mlp.gate_proj,0,0.0360131710767746
layers.13.mlp.up_proj,0,0.031875014305114746
layers.13.mlp.down_proj,0,0.007039154879748821
layers.14.self_attn.q_proj,0,0.1855340451002121
layers.14.self_attn.k_proj,0,0.2062712162733078
layers.14.self_attn.v_proj,0,0.06623303145170212
layers.14.self_attn.o_proj,0,0.0021263507660478354
layers.14.mlp.gate_proj,0,0.0409497506916523
layers.14.mlp.up_proj,0,0.03585733473300934
layers.14.mlp.down_proj,0,0.008600547909736633
layers.15.self_attn.q_proj,0,0.17230798304080963
layers.15.self_attn.k_proj,0,0.19749973714351654
layers.15.self_attn.v_proj,0,0.06823334842920303
layers.15.self_attn.o_proj,0,0.0024403028655797243
layers.15.mlp.gate_proj,0,0.04488220810890198
layers.15.mlp.up_proj,0,0.039814721792936325
layers.15.mlp.down_proj,0,0.011108830571174622
layers.16.self_attn.q_proj,0,0.1781158447265625
layers.16.self_attn.k_proj,0,0.19299769401550293
layers.16.self_attn.v_proj,0,0.06873707473278046
layers.16.self_attn.o_proj,0,0.003496456891298294
layers.16.mlp.gate_proj,0,0.05103331059217453
layers.16.mlp.up_proj,0,0.0446026548743248
layers.16.mlp.down_proj,0,0.013318191282451153
layers.17.self_attn.q_proj,0,0.18020278215408325
layers.17.self_attn.k_proj,0,0.191335991024971
layers.17.self_attn.v_proj,0,0.07408109307289124
layers.17.self_attn.o_proj,0,0.0027757834177464247
layers.17.mlp.gate_proj,0,0.0610235296189785
