layer,sample_idx,mse
layers.0.self_attn.q_proj,0,0.0006440665456466377
layers.0.self_attn.k_proj,0,0.0006794653018005192
layers.0.self_attn.v_proj,0,4.298094427213073e-05
layers.0.self_attn.o_proj,0,5.904822046431946e-06
layers.0.mlp.gate_proj,0,0.00020140940614510328
layers.0.mlp.up_proj,0,0.00017937488155439496
layers.0.mlp.down_proj,0,1.2447476365196053e-05
layers.1.self_attn.q_proj,0,0.002853039186447859
layers.1.self_attn.k_proj,0,0.0032561521511524916
layers.1.self_attn.v_proj,0,7.45001234463416e-05
layers.1.self_attn.o_proj,0,1.4298633686848916e-05
layers.1.mlp.gate_proj,0,0.0005737536703236401
layers.1.mlp.up_proj,0,0.00034090501139871776
layers.1.mlp.down_proj,0,0.02113790437579155
layers.2.self_attn.q_proj,0,0.006719793193042278
layers.2.self_attn.k_proj,0,0.007517668418586254
layers.2.self_attn.v_proj,0,0.0007598273223266006
layers.2.self_attn.o_proj,0,4.016631282866001e-05
layers.2.mlp.gate_proj,0,0.0010050507262349129
layers.2.mlp.up_proj,0,0.0006847389158792794
layers.2.mlp.down_proj,0,3.943477349821478e-05
layers.3.self_attn.q_proj,0,0.016261225566267967
layers.3.self_attn.k_proj,0,0.016929615288972855
layers.3.self_attn.v_proj,0,0.002430965891107917
layers.3.self_attn.o_proj,0,3.69779700122308e-05
layers.3.mlp.gate_proj,0,0.001712410245090723
layers.3.mlp.up_proj,0,0.0012935111299157143
layers.3.mlp.down_proj,0,8.088733011391014e-05
layers.4.self_attn.q_proj,0,0.019275574013590813
layers.4.self_attn.k_proj,0,0.019169626757502556
layers.4.self_attn.v_proj,0,0.0032229817006736994
layers.4.self_attn.o_proj,0,5.1451934268698096e-05
layers.4.mlp.gate_proj,0,0.002896449062973261
layers.4.mlp.up_proj,0,0.0020762935746461153
layers.4.mlp.down_proj,0,0.00023394332674797624
layers.5.self_attn.q_proj,0,0.024798458442091942
layers.5.self_attn.k_proj,0,0.024125996977090836
layers.5.self_attn.v_proj,0,0.004322932101786137
layers.5.self_attn.o_proj,0,0.0001341762690572068
layers.5.mlp.gate_proj,0,0.004507166333496571
layers.5.mlp.up_proj,0,0.0029766629450023174
layers.5.mlp.down_proj,0,0.000364318722859025
layers.6.self_attn.q_proj,0,0.03199415281414986
layers.6.self_attn.k_proj,0,0.03011212684214115
layers.6.self_attn.v_proj,0,0.007235060911625624
layers.6.self_attn.o_proj,0,0.00014127659960649908
layers.6.mlp.gate_proj,0,0.0058218855410814285
