layer,sample_idx,mse
layers.5.mlp.gate_proj,4,0.08090268820524216
layers.5.mlp.gate_proj,5,0.08514956384897232
layers.5.mlp.gate_proj,6,0.0867253839969635
layers.5.mlp.gate_proj,7,0.09436305612325668
layers.5.mlp.up_proj,0,0.0035203928127884865
layers.5.mlp.up_proj,1,0.04116915911436081
layers.5.mlp.up_proj,2,0.05139470472931862
layers.5.mlp.up_proj,3,0.05330535024404526
layers.5.mlp.up_proj,4,0.05923956632614136
layers.5.mlp.up_proj,5,0.06149192526936531
layers.5.mlp.up_proj,6,0.062313105911016464
layers.5.mlp.up_proj,7,0.0658249631524086
layers.5.mlp.down_proj,0,0.0004215343506075442
layers.5.mlp.down_proj,1,0.003988360986113548
layers.5.mlp.down_proj,2,0.004653359297662973
layers.5.mlp.down_proj,3,0.004692842718213797
layers.5.mlp.down_proj,4,0.0049277255311608315
layers.5.mlp.down_proj,5,0.005652223713696003
layers.5.mlp.down_proj,6,0.0055944714695215225
layers.5.mlp.down_proj,7,0.00567025737836957
layers.6.self_attn.q_proj,0,0.043761689215898514
layers.6.self_attn.q_proj,1,0.5345872044563293
layers.6.self_attn.q_proj,2,0.7256801128387451
layers.6.self_attn.q_proj,3,0.8253048062324524
layers.6.self_attn.q_proj,4,0.8863340616226196
layers.6.self_attn.q_proj,5,0.8519891500473022
layers.6.self_attn.q_proj,6,0.9799834489822388
layers.6.self_attn.q_proj,7,1.0149295330047607
layers.6.self_attn.k_proj,0,0.03889329358935356
layers.6.self_attn.k_proj,1,0.5199475288391113
layers.6.self_attn.k_proj,2,0.8251892924308777
layers.6.self_attn.k_proj,3,0.8990128636360168
layers.6.self_attn.k_proj,4,1.0206056833267212
layers.6.self_attn.k_proj,5,1.0110762119293213
layers.6.self_attn.k_proj,6,1.075932264328003
layers.6.self_attn.k_proj,7,1.1669188737869263
layers.6.self_attn.v_proj,0,0.008826758712530136
layers.6.self_attn.v_proj,1,0.1002737507224083
layers.6.self_attn.v_proj,2,0.13590000569820404
layers.6.self_attn.v_proj,3,0.14139559864997864
layers.6.self_attn.v_proj,4,0.15058831870555878
layers.6.self_attn.v_proj,5,0.1529775857925415
layers.6.self_attn.v_proj,6,0.16091057658195496
layers.6.self_attn.v_proj,7,0.16510574519634247
layers.6.self_attn.o_proj,0,0.00017713145643938333
layers.6.self_attn.o_proj,1,0.0011126933386549354
layers.6.self_attn.o_proj,2,0.0020703631453216076
layers.6.self_attn.o_proj,3,0.0022135984618216753
layers.6.self_attn.o_proj,4,0.0028018616139888763
layers.6.self_attn.o_proj,5,0.002715160371735692
layers.6.self_attn.o_proj,6,0.0034989803098142147
layers.6.self_attn.o_proj,7,0.0029148785397410393
layers.6.mlp.gate_proj,0,0.006583097856491804
layers.6.mlp.gate_proj,1,0.0624910444021225
layers.6.mlp.gate_proj,2,0.08577293902635574
layers.6.mlp.gate_proj,3,0.08890221267938614
layers.6.mlp.gate_proj,4,0.1012217327952385
layers.6.mlp.gate_proj,5,0.10474462807178497
layers.6.mlp.gate_proj,6,0.10783859342336655
layers.6.mlp.gate_proj,7,0.11651218682527542
layers.6.mlp.up_proj,0,0.0043865833431482315
layers.6.mlp.up_proj,1,0.04498587176203728
layers.6.mlp.up_proj,2,0.058977216482162476
layers.6.mlp.up_proj,3,0.062158919870853424
layers.6.mlp.up_proj,4,0.06910863518714905
layers.6.mlp.up_proj,5,0.07021790742874146
layers.6.mlp.up_proj,6,0.07267121225595474
layers.6.mlp.up_proj,7,0.0770285353064537
layers.6.mlp.down_proj,0,0.000723908597137779
layers.6.mlp.down_proj,1,0.005595609545707703
layers.6.mlp.down_proj,2,0.006856611464172602
layers.6.mlp.down_proj,3,0.007038401905447245
layers.6.mlp.down_proj,4,0.007772357668727636
layers.6.mlp.down_proj,5,0.008094093762338161
layers.6.mlp.down_proj,6,0.008838621899485588
layers.6.mlp.down_proj,7,0.008930823765695095
layers.7.self_attn.q_proj,0,0.04472215846180916
layers.7.self_attn.q_proj,1,0.6144720911979675
layers.7.self_attn.q_proj,2,0.8124693036079407
layers.7.self_attn.q_proj,3,0.9017326235771179
layers.7.self_attn.q_proj,4,1.0016063451766968
layers.7.self_attn.q_proj,5,0.9433597326278687
